lg_country_code,report_date,sessions,transactions,successful_orders,gmv_eur,healthy_ns,total_availability_sessions
at,2026-03-23,93524,31648,27884,829117.19,76119,81827
my,2026-05-22,1030660,226966,262668,1729876.16,916776,947158
la,2026-02-02,30738,9102,9949,40092.12,26105,28454
my,2025-10-27,987244,207056,228184,1325694.39,847701,882327
hu,2026-01-06,136024,34327,27302,514574.05,97946,124162
t3,2025-07-30,1798704,596112,372505,3500533.01,1548888,1632965
ph,2025-12-01,1262662,333261,368259,2300724.13,1053363,1160640
hu,2026-02-27,136462,45947,41851,799649.24,117576,124284
bd,2025-12-29,273214,64545,70254,303499.57,220608,245819
ph,2025-12-15,1260462,334815,370468,2311805.61,1014393,1167810
at,2025-12-15,105146,37672,31972,965288.87,86974,93588
no,2025-11-08,95136,23644,22280,835241.57,83112,87021
tw,2025-08-25,1422105,432949,466093,3784266.31,1290091,1316505
kh,2025-07-04,137283,26960,29503,169507.18,116951,120266
hk,2026-06-19,354068,95935,85840,1871535.31,317028,331877
la,2025-07-28,35060,8992,10027,38691.94,28704,30558
sg,2025-07-07,215685,60529,63768,1217934.2,191337,192541
t3,2026-04-13,1894901,621427,405984,3800999.96,1770006,1818489
at,2026-04-27,95324,30599,27284,807731.66,80364,85248
kh,2026-03-07,112313,27557,30172,187929.21,99616,102554
my,2025-08-13,969252,189166,236130,1318975.05,821923,855151
la,2026-05-09,36356,11038,12310,54588.94,30502,33314
at,2026-05-20,97884,33169,28174,835983.5,82791,88141
at,2026-01-05,109606,36702,30955,979247.15,88913,97854
se,2026-06-17,169744,45757,40364,1188802.02,132479,159494
bd,2026-01-31,262419,62818,67775,304994.69,221276,240012
no,2025-07-20,105774,27176,25170,929435.75,80350,91965
my,2025-07-06,1116462,223244,261682,1652679.02,953756,1000155
sg,2025-07-06,269631,78671,85728,1766496.26,244325,245799
tw,2026-02-12,1318735,428395,460706,3743959.13,1227359,1254685
t3,2026-02-12,1939042,622038,361252,3502639.6,1792749,1856461
no,2025-09-09,68596,14739,13886,486769.19,57707,61766
no,2026-03-30,72817,15793,15585,599909.21,61698,65672
hu,2025-08-16,118941,36260,31578,603348.95,89725,99851
la,2026-04-25,34006,9895,10939,47373.95,27443,31384
hu,2025-07-09,129794,38587,35634,619791.06,99832,106538
cz,2025-12-05,152947,47656,46519,885391.66,124496,135289
kh,2025-07-08,134297,26061,28676,158698.86,114292,117859
mm,2026-06-14,139630,35371,38685,280551.88,112096,129288
at,2026-03-05,105357,37804,32401,966093.1,88065,93613
no,2026-03-31,70107,15963,15704,618076.43,59817,63337
at,2026-04-26,131494,44810,37197,1134870.31,113716,120201
pk,2025-11-12,894462,234724,232728,974154.8,773552,801117
no,2025-09-25,71760,16852,15919,573359.05,60960,65207
se,2026-05-04,147118,40846,36830,1048289.78,114598,135731
pk,2026-03-16,865668,184365,216577,1033560.06,682657,769132
mm,2026-03-16,133650,30184,37875,247965.56,113640,120392
at,2026-06-26,101468,37216,31601,990426.79,82044,93360
t3,2026-05-05,1925450,612656,382386,3721000,1801225,1854945
ph,2025-08-17,1328400,321715,382365,2544090.56,1029549,1173534
bd,2025-08-17,278715,57472,67111,278401.7,207717,239359
no,2025-10-19,123018,34359,32101,1147022.75,103301,111945
t3,2026-01-15,1982551,651235,399928,3818660.17,1817340,1885593
sg,2026-01-15,200246,61249,57671,1141438.72,188573,188939
hu,2026-06-12,141080,48179,44476,911187.28,115619,127983
hk,2026-06-12,321978,84582,66971,1427410.53,296285,303495
la,2026-05-19,33693,9741,10871,46479.27,29073,30972
se,2025-11-25,171253,49815,42559,1267147.71,134396,154216
hk,2025-10-18,346851,94165,80963,1714818.3,317544,327910
no,2026-01-01,150659,33341,29137,1101249.04,112602,141189
la,2025-12-31,28837,7465,8136,36181.03,21926,26686
pk,2025-09-27,961690,245714,254817,1099713.85,827403,856925
se,2026-05-02,190313,56581,51064,1553487.27,156950,177597
cz,2025-11-14,148901,48516,47524,907526.79,118417,128129
la,2026-03-28,38155,9843,10745,45998.91,29006,34654
mm,2026-02-07,125131,34086,37675,243840.45,108866,114839
bd,2025-07-24,298640,64839,69267,295384.87,225736,264708
no,2025-09-12,91047,22550,21042,809118.58,78428,83340
bd,2026-03-29,303693,70445,76091,325942.93,238256,272224
my,2026-05-17,1075297,232672,264934,1735741.71,955266,987909
no,2025-08-30,100194,24525,22827,861935.82,85367,91672
no,2026-06-24,76759,18436,17288,683542.96,64127,71396
hk,2026-06-24,312978,81416,64145,1337692.98,277870,283008
sg,2026-06-24,242663,69351,62849,1283406.63,213121,217602
se,2026-01-12,145444,37610,32795,993514.59,110511,132554
se,2025-07-23,153789,41123,33601,976685.25,110592,132036
hk,2025-07-23,327301,77255,63241,1214204.49,294316,300059
my,2025-09-11,941616,202394,224737,1329753.91,819681,855044
kh,2025-12-08,92324,24958,27018,150907.97,82952,85797
t3,2025-12-23,1749154,570979,349477,3302462.74,1597172,1651099
hk,2026-05-29,346543,89053,69238,1465995.7,319569,326138
my,2026-02-05,888709,217320,245792,1535586.82,808190,833960
bd,2025-09-29,268045,61000,67416,286532.89,212866,239457
ph,2025-11-16,1391663,368885,410813,2662692.91,1134120,1274088
pk,2025-09-15,862665,213785,216498,869468.07,727654,759250
at,2026-01-10,114923,38956,31167,1014182.5,95990,104231
la,2025-08-08,37148,10032,11241,43391.56,31353,33063
t3,2025-11-01,1953214,649274,392666,3934526.56,1782087,1842361
ph,2026-06-22,1351149,324618,348691,2145352.14,1019351,1078838
hu,2026-01-11,134707,35290,28211,578583.14,89515,123449
hu,2026-05-15,145295,48465,44247,912008.16,124314,132563
se,2026-03-24,158576,43924,39003,1158088.5,104944,120601
at,2025-09-17,91117,32418,27410,803456.53,73744,78799
at,2025-07-15,95986,32203,28328,827741.56,75765,81738
se,2025-07-15,142529,37235,31373,915562.95,103172,122411
t3,2025-12-25,1773832,585473,360613,3438238.17,1633725,1686714
se,2026-02-17,157057,39437,35042,1076639.57,127002,142953
tw,2026-01-22,1292176,427149,460991,3660197.3,1211485,1239815
ph,2025-08-21,1328902,342802,381966,2438656.16,1130189,1207418
se,2025-07-14,145584,36715,30912,902855.32,102466,122327
pk,2025-09-16,886629,220066,224233,910998.19,752610,780048
cz,2026-02-04,126240,38007,37634,686813.84,104550,110899
at,2026-03-25,98571,34056,29274,880399.77,81426,86875
no,2026-06-09,78537,17987,16979,666668.06,66758,74446
my,2026-05-13,973729,214722,245826,1506352.48,863458,893794
tw,2026-04-07,1315363,396420,431130,3399681.88,1218603,1249044
cz,2025-08-20,119883,36553,35909,623308.39,86762,94039
no,2025-08-20,71996,16602,15502,535250.61,60377,65631
bd,2026-02-15,258113,60303,64302,288668.75,216127,235206
la,2026-02-15,36945,10262,11278,49509.66,27812,34379
mm,2025-10-25,127866,31737,35289,222095.47,107385,115747
t3,2026-01-08,2035386,618561,340135,3262641.44,1781217,1936961
kh,2025-07-02,135799,26755,29193,162907.96,115870,119656
no,2025-12-13,106911,30259,28552,1061144.46,94196,99889
bd,2026-01-09,281002,68359,73701,348795.91,222805,258019
cz,2026-01-09,162901,47289,44787,888247.53,127105,144706
mm,2026-01-09,111442,29612,32669,201906.61,97391,101780
ph,2026-05-10,2101859,476939,532203,4220305.58,1527591,1967654
pk,2026-04-30,1106444,291500,288438,1347482.59,965240,998058
ph,2026-04-30,1414215,383964,422568,2657142.26,1228234,1307598
kh,2026-04-30,121807,29740,31803,192700.49,108131,111526
se,2026-02-01,216308,64023,54666,1738273.3,168785,200159
tw,2026-02-01,1575390,472688,512770,4301559.27,1433632,1510921
mm,2026-02-01,132312,32766,36142,235331.75,110060,122040
bd,2025-11-19,277317,63810,67802,286145.75,228783,252453
hk,2025-11-19,305111,80274,61750,1214475.92,279794,287122
la,2026-04-04,36938,10662,11841,52686.84,29913,33908
no,2025-10-27,67232,14541,13809,482761.73,55960,59937
at,2025-07-19,91784,30848,26201,805632.17,73452,79156
sg,2026-01-06,197402,57788,53773,1064814.77,182596,183065
ph,2026-03-20,1315717,326888,393414,2530266.19,1148654,1204599
tw,2026-03-20,1221696,384354,431006,3437475.5,1123587,1136209
cz,2025-12-29,132058,39668,38975,767237.13,103922,115718
pk,2026-02-13,1011349,269349,267271,1184983.25,883623,919815
se,2025-12-15,138895,40934,35364,1040324.97,107512,125810
at,2026-04-02,107803,37303,32377,1007116.57,90247,96226
cz,2025-11-08,134723,40733,39502,799229.93,106945,117040
my,2026-02-14,956504,229295,259832,1822990.12,862791,894823
hu,2025-10-12,119509,37240,33014,634917.49,86852,107352
my,2025-10-12,1078064,221179,246261,1485361.84,891525,973297
la,2025-10-26,35559,10428,11535,48832.35,30353,32947
ph,2025-10-26,1356245,364392,407924,2619296.78,1126820,1254032
cz,2026-06-30,123437,36485,35664,665521.04,98569,110945
hk,2025-07-07,338633,78892,65718,1262508.52,306334,311646
hk,2025-07-03,331124,77735,64386,1233618.32,300230,305496
kh,2026-02-25,117773,28232,30045,175910.41,105066,108235
sg,2026-01-04,238559,74177,74598,1569287.94,222956,223598
la,2026-05-23,36462,10830,12079,55450.5,31028,33366
bd,2025-12-03,286977,65425,69143,303913.77,238923,262690
hk,2026-06-01,315786,81517,65121,1301212.39,291824,297304
pk,2026-03-07,918370,229692,231656,1118573.99,753106,827082
bd,2025-10-29,292688,65425,69977,295129.17,233446,259449
la,2026-02-11,32269,9693,10653,43783.94,27701,30022
ph,2025-10-14,1236460,322638,359796,2281345,1072190,1136528
at,2026-04-29,105075,36997,32506,980291.03,89618,94609
bd,2025-11-09,279867,64724,69122,287361.98,224463,248976
tw,2025-07-06,1683231,341686,379615,3539812.35,1159343,1216306
kh,2025-09-08,137579,25595,27861,155908.89,117217,121146
hk,2025-09-08,381914,70872,53860,1104401.5,264222,361378
no,2025-10-03,85537,20470,18994,703028.98,73796,77949
tw,2025-08-01,1491111,441947,475203,4137728.12,1335482,1375743
t3,2026-03-19,1875478,485033,315263,3610279.82,1683083,1776091
ph,2026-05-21,1444194,370500,407059,2524102.79,1267330,1334357
my,2026-04-25,1098539,242080,277644,1854276.7,981865,1021329
my,2026-02-23,688589,137393,152964,995103.25,600205,631323
se,2025-12-30,168317,49482,41792,1307503.15,132413,154078
hu,2025-12-19,148454,48780,42847,838178.88,121082,133988
at,2026-04-12,133487,46679,39203,1207234.22,113964,121113
no,2025-07-08,66300,14031,13417,475699.87,52491,56957
hk,2025-07-08,332406,78134,66037,1272483.46,301271,306436
t3,2025-08-29,1773497,611969,392120,3653608.51,1594516,1666784
hu,2025-08-29,124606,40122,35690,644481.82,95002,103424
hk,2025-08-29,345634,86340,70702,1471692.27,312066,322550
hu,2026-06-15,121482,38439,35770,700746.89,96027,109857
at,2026-03-31,109899,36575,31638,985949.04,90523,97225
bd,2026-01-17,259169,62269,67060,302160.38,221441,239644
mm,2026-04-26,136874,33566,36882,259122.6,109480,125817
t3,2025-09-21,1858876,602964,376993,3829823.88,1660994,1761561
tw,2026-01-03,1492195,498389,538028,4448037.3,1402182,1431262
hk,2026-01-03,328414,91072,79129,1609874.74,306685,313760
ph,2026-06-11,1353823,358643,391780,2511267.75,1150194,1239946
my,2026-06-11,954623,216843,258455,1514124.87,837016,874297
se,2025-10-05,209122,63170,52231,1560259.26,154508,184945
kh,2026-03-02,110122,26226,28478,165425.34,97294,100397
t3,2026-01-28,1902128,616891,385166,3596454.13,1747503,1810283
cz,2025-11-26,130611,40965,40528,735122.44,107666,114895
t3,2025-11-26,1689808,567369,351428,3327140.09,1558339,1609587
tw,2025-09-10,1325377,397053,431529,3477266.57,1218677,1241967
la,2025-08-04,37620,10204,11369,44605.45,31446,33275
bd,2026-02-21,252334,45565,49212,236745.51,193606,229299
hk,2026-06-26,335741,86762,68650,1476689.2,297814,317310
tw,2025-12-07,1495659,498199,532997,4475309.3,1410361,1437585
tw,2025-11-11,1488964,358903,384061,3129351.93,1367479,1410090
sg,2026-04-24,265723,80827,76717,1520122.72,247707,248928
hu,2025-10-19,114079,36198,32113,617360.39,84540,102748
ph,2026-05-19,1363652,348492,380669,2339857.19,1181792,1255037
bd,2025-11-25,274261,61285,66323,283767.86,224935,245831
mm,2025-09-23,134850,31239,35154,203911.94,111249,118724
mm,2026-01-01,119427,29071,32269,215139.68,102295,109654
at,2025-12-31,91457,24529,18277,616723.47,65076,81695
mm,2025-09-27,123709,30870,35337,217451.19,102720,108568
bd,2026-06-27,308636,69599,74822,352837.61,244107,280007
hk,2025-12-21,341409,88198,77952,1613927.44,317084,325392
hu,2026-01-26,98105,29838,27242,485211.6,79721,88061
bd,2026-01-26,253169,59729,64472,275566.23,213105,230165
bd,2025-11-14,303241,70944,76088,341886.69,233129,271789
la,2025-09-13,35455,10118,11319,46259.07,29820,31686
at,2025-09-13,101090,35460,29309,913581.88,83573,90029
pk,2025-12-20,969240,261581,262400,1163562.91,822676,872626
no,2025-12-20,88725,23223,23285,887007.75,78357,82268
se,2025-08-31,233224,68768,57398,1692336.06,170256,205481
my,2026-04-21,966351,213847,246251,1505466.6,856042,900238
at,2025-08-30,107450,37106,28874,916254.87,80706,89346
la,2025-08-05,37721,10078,11220,43327.59,31844,33715
sg,2025-09-26,236846,68938,68541,1354954.73,217282,218048
ph,2025-09-26,1436974,338687,384844,2532189.22,1157050,1329233
my,2026-06-10,970757,215922,245269,1494074.99,850500,891326
pk,2025-09-11,935713,225109,228933,953219.84,801636,835597
pk,2025-12-08,881399,243118,233960,994268.22,767898,800937
no,2025-08-19,68228,15090,14089,491717.2,56641,61434
la,2026-06-21,37386,11574,12916,58556.36,46,1171
hu,2025-11-02,109501,32014,28614,553424.59,80445,97786
tw,2025-07-27,1603427,492865,535033,4786216.29,1452604,1492566
se,2025-10-20,153237,40419,34498,998204.4,112001,132359
mm,2025-10-20,137762,32055,36136,225363.21,112434,126831
hk,2025-10-09,307080,76782,59820,1190938.22,279329,287492
sg,2026-01-10,234707,74625,74186,1580356.63,222403,222987
bd,2025-08-08,312146,68051,73541,335546.19,217775,274742
at,2025-11-01,168505,56296,43277,1350584.35,136172,150488
my,2025-12-22,856553,213769,243927,1517109.61,766820,793436
se,2026-06-22,155551,42126,36923,1068922.77,111000,139138
mm,2026-02-06,123392,32442,35863,223655.21,107724,112478
hk,2026-02-06,322643,85428,68892,1397155.7,299819,305273
ph,2026-03-27,1340481,373602,413891,2713739.06,1160534,1231291
kh,2025-11-29,135290,24729,27062,171576.09,114524,119163
hk,2025-07-26,353478,88568,79393,1614388.1,321197,328015
cz,2025-10-23,134734,41844,41007,733123.62,98287,106477
bd,2025-07-15,314337,54807,61730,250059.03,213882,273636
hk,2025-11-18,305975,78357,59851,1168983.62,278403,285950
se,2026-01-22,168792,48125,41492,1277998.74,138060,155096
at,2025-07-14,100427,31854,28358,832627.2,78630,85397
mm,2025-07-14,117020,28007,32517,185050.04,94678,98773
at,2026-02-04,110201,38831,33426,1000820.4,92921,99186
sg,2025-11-03,226512,63385,60662,1177198.1,204175,205791
sg,2026-06-09,249675,71285,64840,1278533.5,229601,232280
no,2026-05-13,84246,21236,19885,821331.71,73912,78453
kh,2026-05-13,127701,27823,29835,173984.47,114274,116788
t3,2026-02-18,2050941,655380,364655,3664768.17,1910299,1972388
mm,2026-04-07,139586,33410,36590,249422.32,114941,126159
ph,2025-09-02,1363891,316512,353287,2211091.44,1137889,1240331
hk,2025-08-09,357941,92601,81786,1660596.13,319273,330586
t3,2026-02-15,2126853,684183,387855,3995073.87,1965696,2044946
se,2026-02-15,204254,60941,52408,1658092.11,158069,187921
mm,2026-02-15,122071,31164,34355,217890.29,102766,111339
cz,2025-07-17,122849,38253,37510,656713.09,95218,102840
pk,2026-04-03,1274564,242824,227757,1085467.33,806888,1176347
kh,2026-06-20,101834,25175,27374,174902.03,89666,92335
hk,2025-08-23,356706,87430,81102,1689308.47,316363,327455
my,2025-12-27,833509,196851,221880,1454524.41,737571,769969
t3,2026-01-20,1913065,590615,351477,3501128.02,1677543,1833538
no,2026-01-20,74284,16942,17105,605580.65,64424,68362
la,2025-11-06,36321,9093,9933,41498.75,30206,33377
my,2025-11-06,986803,218023,241994,1441871.11,873231,901114
mm,2025-12-12,128667,30328,33445,207728.8,114097,118559
tw,2026-05-25,1237550,393810,422954,3322638.6,1146356,1168751
at,2025-11-05,106330,37219,31327,934867.44,86859,92932
cz,2026-02-01,127499,37567,36827,748488.78,100124,112477
cz,2025-07-01,109817,32853,32459,559208.58,85098,91971
mm,2025-09-18,122769,29841,33867,197117.69,101976,106551
cz,2026-04-19,140626,42626,41526,863836.14,111830,126381
hu,2026-06-07,124013,39261,35955,769177.38,91943,112931
no,2026-06-07,120942,34277,31898,1260861.95,103368,115889
hu,2026-03-23,108971,31232,29423,519302.12,90351,97246
cz,2026-03-23,122057,34039,34349,607977.66,99989,106319
sg,2026-03-23,266664,71609,71211,1410225.86,240768,245667
hu,2026-05-22,132325,43154,39742,818463.81,112574,119906
sg,2026-02-02,207334,60061,56416,1126675.87,193797,194261
mm,2025-10-27,120491,29393,32348,191394.6,102222,108789
at,2026-01-06,136019,48980,39672,1216967.97,113475,122886
kh,2026-01-06,98531,23776,25716,150730.08,88470,90958
no,2025-08-26,74014,14907,14035,494875.85,61541,66342
cz,2026-04-01,130357,38204,38311,702890.05,107644,114632
hu,2026-03-20,139057,38740,40763,748245.06,99907,105870
no,2026-02-27,88412,23354,22232,897129.1,78805,82440
my,2025-12-29,854841,205237,232714,1461849.95,760647,789463
no,2026-06-04,79134,19967,18733,743921.48,67569,74996
tw,2026-06-18,1246987,396759,427463,3462775.23,1141363,1179051
kh,2026-06-18,105661,27309,29063,180671.58,94591,97232
t3,2025-07-18,1782065,569545,359185,3342514.14,1545830,1628494
sg,2025-12-15,212904,58375,55045,1095437.53,194349,198404
la,2025-08-25,35219,9418,10442,41406.91,28470,31894
t3,2025-10-12,1970293,621111,372064,3854164.99,1765056,1869946
hk,2025-10-26,389648,109556,96686,1968514.71,355279,367315
la,2026-02-28,35611,10562,11659,50801.44,28568,32871
bd,2026-02-28,249831,52058,56578,272631.78,199900,229055
pk,2025-08-10,1009267,252365,253054,1071017.09,839378,882458
my,2026-06-05,1040809,235875,265685,1729704.78,877530,951478
cz,2025-12-28,130540,37150,36039,739911.22,98484,115147
my,2025-12-28,844235,197570,221672,1453923.76,745402,780126
hu,2025-12-28,107268,31617,28020,575161.7,74754,97147
la,2026-06-19,34580,10882,12033,52909.7,28617,32174
se,2025-08-24,212479,65496,53636,1578123.61,154808,186054
se,2025-10-01,171481,44647,38030,1107140.46,131235,151022
se,2025-07-07,152793,38509,32534,930964.87,107006,126157
pk,2025-07-03,937780,210742,219519,903696.79,774783,827180
pk,2026-02-25,787702,188321,187393,847180.32,656193,714947
kh,2025-11-22,135992,25576,27804,175535.26,117552,120970
mm,2025-12-03,152005,34675,39189,227923.83,130897,138261
bd,2026-06-01,305474,67349,71981,335647.67,221018,279030
ph,2026-04-27,1313086,345689,379827,2307838.69,1150644,1213368
pk,2025-12-17,909852,250614,248051,1052226.51,787904,817528
t3,2025-10-29,1840478,599220,361401,3474072.44,1657007,1716219
pk,2025-08-13,1005634,201440,232569,956947.53,788122,841617
pk,2025-11-21,928274,250256,247244,1060705.39,816124,845749
at,2025-11-21,111916,40815,33850,1043994.05,94117,100198
bd,2026-02-26,254098,51568,55530,268119.33,204395,234678
mm,2026-02-26,126330,32759,35977,222108.31,110721,116592
t3,2026-03-06,1892779,588886,376451,3740928.24,1618227,1677574
t3,2026-06-02,1949294,592167,369761,3682201.26,1807999,1873434
no,2026-01-19,76322,16192,16419,588379.8,65820,70058
my,2026-01-19,774682,186353,207935,1256592.84,704009,722850
la,2025-08-12,36921,9709,10773,42030.02,31260,33154
kh,2025-12-02,136952,25538,27205,156666.37,117538,120989
bd,2025-09-09,279833,63012,70409,288399.95,224887,252364
pk,2025-11-20,884089,239657,236716,1002886.84,778653,807182
my,2025-10-03,1061648,216297,238834,1472328.32,876738,966948
sg,2025-07-20,271735,79055,83622,1733550.48,247309,248837
cz,2026-05-07,134633,42339,41286,807644.84,111040,120267
pk,2025-10-17,917355,243950,244307,1036315.49,795661,825700
my,2025-10-17,1064546,221292,239106,1487514.97,871092,960526
sg,2026-05-07,255501,76208,70610,1372405.18,238506,239293
no,2025-08-16,91834,22761,21172,788842.12,76444,81907
hk,2026-04-25,354652,96820,82913,1708913.07,328348,337137
my,2025-07-08,1003471,202443,237695,1379947.44,865898,896912
la,2026-06-14,37362,11909,13284,59821.6,30954,35349
no,2026-06-15,77586,18229,17230,682696.26,64187,73311
t3,2026-03-05,1836881,566018,367445,3594072.02,1704418,1761356
hu,2025-11-12,126134,40243,38501,668297.65,100765,106333
hk,2026-06-29,350110,84467,63771,1307916.34,285361,291903
mm,2026-06-11,134087,33192,36089,248828.54,111243,123160
my,2025-08-18,951031,193829,215659,1265867.14,821615,852454
at,2026-03-02,105867,34182,29467,897378.65,88277,94766
hk,2026-01-28,302778,78157,62668,1203676.12,282473,287593
la,2025-08-15,34818,9537,10588,41712.17,29188,31137
tw,2025-08-15,1428991,435680,470345,3931920.57,1300454,1322029
at,2026-05-04,97835,34199,29613,881311.46,82802,88041
sg,2026-02-10,208698,59777,56775,1114337.01,194777,195315
hk,2025-09-10,325706,78776,62637,1245590.81,296230,304926
hk,2025-10-30,299803,78849,62922,1231072.55,270874,277413
at,2025-10-19,136231,49247,38653,1171932.42,113933,122021
se,2026-01-15,166246,44401,38349,1177222.8,135631,152714
sg,2025-08-02,258140,76379,78264,1601476.18,232734,233719
my,2026-05-06,1007508,220304,263781,1552886.66,898467,935803
mm,2026-02-22,123811,31944,35247,226972.02,104868,112417
pk,2026-06-23,1134668,273148,266246,1313609.24,509710,540307
cz,2026-06-23,121272,37571,36812,679969.15,50256,53690
se,2026-06-23,152696,41848,37120,1067630.61,60508,74769
tw,2025-09-13,1556496,493792,539289,4614956.33,1447341,1470051
cz,2025-10-07,116610,35050,34981,608846.24,92664,99678
mm,2026-02-08,124505,33033,36512,235940.16,106907,114737
la,2026-02-08,34637,10541,11676,50296.81,28712,32057
hk,2026-02-08,379300,111658,100097,2022545.42,353317,362926
no,2025-07-24,70882,16001,15148,539496.15,56881,61591
at,2025-07-24,101507,33810,28557,850878.38,81000,86997
la,2025-12-20,29609,9552,10604,44858.39,25335,27549
ph,2026-03-29,1278072,356558,395692,2533006.8,1099965,1165919
kh,2026-03-29,105479,25548,28085,180462.13,92564,95785
sg,2026-03-29,315371,92013,92483,1929618.26,286483,291422
tw,2025-08-31,1568173,487500,534957,4597184.48,1442737,1479024
hk,2025-08-31,411530,110956,100090,2080163.59,371571,388189
cz,2026-05-17,131497,41179,39843,813314.8,104383,117100
ph,2026-05-03,1396677,385080,424760,2646776.13,1214541,1294385
at,2026-03-15,143226,43080,41529,1263723.94,119565,128318
la,2026-02-09,32051,9529,10370,42380.57,27418,29603
at,2025-12-09,106382,37867,32278,975811.05,89114,95531
kh,2026-02-20,114873,27869,30258,181861.07,101175,105049
kh,2025-08-19,150800,28486,30999,168111.2,129248,133513
la,2025-12-23,27718,8699,9595,38575.67,23839,25586
my,2026-03-26,1163078,244065,274079,1898745.64,926472,1060651
sg,2026-01-13,195018,59131,54978,1082853.06,182968,183313
my,2025-07-12,1037752,210996,253907,1540603.75,892149,927775
pk,2025-11-16,994235,265824,266446,1150748.06,854545,892744
la,2026-01-24,31375,9644,10717,45626.67,26705,29577
bd,2026-01-24,250511,61363,66250,291012.4,214027,232812
la,2026-03-12,31924,8913,9885,42853.68,25720,29295
se,2026-01-11,186413,55050,46360,1448322.05,142432,172271
ph,2025-09-14,1372317,340240,386217,2560149.38,1052833,1262207
t3,2026-01-25,1885771,588386,357449,3617948.64,1712159,1809075
t3,2025-07-11,1782087,576910,374848,3472156.78,1536527,1615455
cz,2025-07-11,132431,40648,39927,721648.25,103495,111421
hu,2025-07-29,109237,30927,27588,470069.88,82728,88687
mm,2025-10-23,128498,31739,35192,211285.44,109783,116056
hk,2025-10-23,303169,79704,61555,1221277.85,272474,279641
hu,2025-07-15,118818,33613,31624,531239.56,92015,97865
la,2026-04-05,38369,10468,11470,49687.74,29250,35581
mm,2026-05-26,138788,34710,37915,260295.58,113953,127853
ph,2026-01-22,1215733,330801,363292,2246259.83,1085845,1141794
at,2026-06-09,105506,37345,31759,950608.64,85269,96925
hk,2026-05-13,313997,81146,63784,1258109.48,287752,293095
no,2026-02-18,76430,16583,16847,644891.96,66894,70580
hk,2026-02-18,320718,69283,60664,1346894.22,286080,306792
mm,2025-09-02,125937,30457,34221,203073.88,103824,108574
la,2025-11-17,34354,9125,9998,41212.15,28217,31086
at,2026-03-11,101319,34483,30615,915145.92,84481,89514
la,2026-03-11,32600,9265,9898,41784.57,26195,29664
no,2025-07-17,68707,16000,15026,543901.31,54902,61100
t3,2026-05-24,1925758,572497,345706,3705489.33,1786511,1851296
kh,2026-05-24,111902,28347,31083,192927.31,99901,102547
cz,2026-04-18,134509,41173,39948,833848.57,111410,120769
ph,2025-12-27,1293581,345319,379396,2564353.67,1043536,1191980
pk,2025-09-30,897583,204522,204552,826518.45,674914,788577
se,2025-11-06,173655,47585,40680,1159143.22,132895,149803
hk,2025-09-19,340019,83726,67685,1423302.7,308406,318800
mm,2025-09-04,128892,31997,35994,207372.57,107494,112304
at,2026-05-11,102736,36129,29458,879045.37,87802,93154
sg,2026-05-10,345929,101629,104246,2246543.37,323052,324693
hu,2025-07-16,123362,35525,32991,553625.76,96068,101579
kh,2025-11-30,134510,25625,27924,178744.08,114607,119114
bd,2026-03-23,270182,48372,52349,247498.72,183928,243080
mm,2026-05-22,137961,33915,36973,254336.07,115067,125438
se,2025-10-27,177344,46968,40298,1163779.52,127694,151837
bd,2025-08-26,288082,60878,67310,278338.06,230472,254485
se,2025-07-30,154691,41675,34516,1004590.83,112479,132458
kh,2026-04-15,98651,22602,23253,159848.91,75482,92725
at,2025-08-11,90588,31529,26840,790037.92,70665,78009
sg,2025-07-05,249970,72822,78418,1615177.12,226660,227975
sg,2026-06-04,254528,76125,69281,1379917.46,232427,236345
t3,2026-06-18,2010724,628246,384896,3889675.22,1856515,1919621
se,2025-07-18,161777,44737,36060,1074689.26,121448,139272
my,2025-07-18,991416,204895,236187,1419059.11,849386,884173
tw,2025-07-18,1466346,448607,488524,4239010.78,1317934,1357060
bd,2025-12-15,259169,63170,68642,296035.55,212663,233895
my,2025-12-15,846043,202378,225117,1388028.46,758378,789435
se,2026-02-14,243279,68142,58519,1975093.47,201402,226383
sg,2026-02-14,255765,73842,74515,1644252.59,240843,241650
la,2025-12-14,30086,9805,10880,46666.83,25890,28363
kh,2025-12-14,108112,25516,27927,177321.98,96785,99295
tw,2026-01-07,1316156,415345,447797,3543812.13,1226227,1254479
sg,2026-04-17,262429,79496,77093,1487719.57,241814,243590
tw,2026-03-21,1433933,457761,506686,4195568.52,1326265,1346252
la,2026-03-21,36158,9546,10816,47463.13,27239,32838
pk,2025-07-07,923733,197688,204820,843283.61,728828,794352
sg,2026-02-25,220325,54724,49352,1016958.76,204110,205951
hk,2026-02-25,306905,81737,65443,1270301.48,285041,290878
mm,2025-11-22,127645,31355,34671,219699.73,109507,115427
bd,2025-10-11,288211,64833,70723,313525.39,225768,259280
cz,2025-12-03,129925,40156,39552,706488.93,108051,114656
tw,2026-06-01,1154298,381449,410411,3252138.22,1073399,1091106
la,2026-04-27,33345,8318,9040,36567.18,25282,30679
la,2026-03-07,35170,10556,11674,52425.97,28886,32165
my,2025-10-29,988550,211503,234517,1380060.86,854058,885483
ph,2025-08-13,1177998,276727,331853,2096043.35,981604,1049878
my,2026-02-11,878896,208244,233026,1485190.56,790530,828259
pk,2026-01-18,1016163,273976,277151,1240965.21,887043,931800
bd,2026-04-14,331771,74842,81077,375935.42,269592,303070
